"CustomerAge","Married","HouseholdSize","AccountAge","PaymentMethod","LastNewPhone","BasePlan","IntlPlan","Deal","CustServCall","NumVmail","NumText","NumApps","DayMin","DayCall","DayCharge","EveMin","EveCall","EveCharge","NightMin","NightCall","NightCharge","IntlMin","IntlCall","IntlCharge","DayData","EveData","NightData","Cancel"
32,"divorced",5,24,"Automatic",28,"standard","Yes","Yes",3,21,31,12,250.4,60,40.87,170.4,54,14.79,136.6,78,7.66,13.2,4,3.71,69.4,203,98,"No"
48,"single",3,24,"Credit",11,"economy","Yes","Yes",0,0,97,16,285.6,74,46.61,217.4,92,21.09,251.7,67,14.15,10,5,2.8,68.6,93,230,"No"
42,"single",4,26,"Automatic",6,"standard","Yes","Yes",2,0,172,12,204.9,46,33.43,135.4,75,14.01,251.2,54,14.17,9,2,2.51,96,75,299,"Yes"
59,"single",1,26,"Check",26,"economy","Yes","No",1,0,151,5,155.5,47,25.38,177.1,86,20.82,277.8,97,16.81,7.2,2,2,154.9,190,143,"Yes"
28,"divorced",2,26,"Automatic",28,"standard","Yes","Yes",2,0,148,6,365.2,55,59.6,218.7,92,20.92,192.1,81,12.04,11.5,6,3.24,141.2,100,165,"Yes"
67,"divorced",2,27,"Automatic",3,"deluxe","Yes","Yes",0,0,53,13,334.2,58,54.53,191.3,70,22.43,195,83,12.14,15.9,6,4.46,92.8,95,215,"Yes"
37,"single",4,29,"Automatic",33,"standard","Yes","No",2,0,25,12,245.9,58,40.13,146.1,68,16.47,213.6,75,12.06,8.7,5,2.45,12.9,108,82,"No"
60,"divorced",1,29,"Automatic",17,"economy","Yes","Yes",1,0,133,14,364.2,51,59.44,292.5,60,32.82,174.9,61,9.86,8.7,4,2.45,153.3,124,220,"Yes"
54,"divorced",4,30,"Credit",3,"standard","Yes","Yes",2,0,43,6,311.2,61,50.78,284.5,98,30.7,255.5,91,15.61,8.6,2,2.39,41.9,54,106,"Yes"
43,"married",5,31,"Automatic",30,"standard","Yes","No",2,0,0,10,276.7,82,45.14,237.9,91,22.87,154.4,69,8.66,8.7,2,2.45,172.6,183,178,"No"
34,"married",4,32,"Automatic",1,"economy","Yes","No",2,0,0,3,219.6,50,35.84,227,121,25.94,218.5,88,13.48,9.7,2,2.71,91.1,183,162,"No"
60,"single",1,32,"Automatic",12,"economy","Yes","Yes",7,0,95,13,167.3,30,27.31,130.8,103,13.43,275.4,93,15.54,8.6,2,2.42,187.1,128,155,"Yes"
57,"married",5,32,"Automatic",21,"economy","Yes","No",1,0,71,19,269,46,43.9,130.6,66,12.1,156.5,67,10.03,14.8,4,4.14,129.1,163,118,"No"
41,"divorced",2,32,"Automatic",6,"deluxe","No","No",2,33,133,16,323.2,65,52.74,190.6,71,20.96,148.1,81,8.3,5.9,6,1.67,187.1,109,238,"No"
39,"married",5,33,"Automatic",11,"deluxe","Yes","Yes",0,0,49,3,340.2,69,55.52,183,71,20.19,302.5,70,18.26,11.8,2,3.3,96.8,65,167,"No"
51,"single",2,33,"Automatic",33,"standard","Yes","Yes",3,0,0,5,189.2,69,30.88,166.9,74,14.51,198.6,96,11.16,6,10,1.69,174.2,111,223,"No"
61,"married",5,33,"Automatic",33,"standard","Yes","Yes",2,0,0,10,430.7,66,70.27,225,140,23.11,230.9,82,14.17,13.3,4,3.73,125,79,150,"Yes"
28,"married",5,34,"Automatic",6,"standard","Yes","Yes",0,27,25,9,299,47,48.79,221.5,80,22.83,240.1,79,14.69,6.9,2,1.92,59.7,64,231,"No"
51,"single",4,35,"Credit",19,"standard","Yes","Yes",0,0,121,16,243.8,82,39.78,158.1,96,17.72,172.5,70,10.87,5.3,2,1.49,86.3,140,316,"No"
53,"single",3,36,"Check",4,"standard","Yes","Yes",4,26,246,13,216.5,63,35.33,124.2,75,13.98,294.9,60,17.78,14.5,10,4.06,130.7,181,306,"Yes"
58,"married",3,36,"Automatic",23,"standard","Yes","No",2,0,0,16,226.6,62,36.98,239.1,89,23.16,177,82,9.94,15.4,2,4.32,158.9,96,277,"No"
42,"married",4,37,"Check",9,"deluxe","Yes","No",1,32,216,8,222.6,54,36.32,156.5,76,18.94,201.1,100,11.34,8.9,2,2.48,57.3,98,109,"No"
28,"married",5,37,"Check",13,"standard","Yes","No",3,0,37,7,253.6,71,41.39,211.1,102,24.56,250.8,77,14.1,9.7,5,2.71,146,80,118,"No"
56,"single",4,37,"Credit",33,"economy","Yes","No",2,0,125,13,294.1,56,48,248.6,108,22.81,156.6,54,10.03,10.2,13,2.87,122.6,220,210,"No"
29,"married",1,37,"Automatic",11,"standard","Yes","Yes",2,0,122,6,250.9,42,40.96,239.8,87,27.58,158,63,8.86,7.8,2,2.2,112.1,167,165,"No"
38,"single",4,38,"Automatic",29,"standard","Yes","Yes",2,13,0,14,208.3,64,34.01,259.4,114,23.78,210.3,92,11.87,11.1,5,3.12,83.1,213,233,"No"
40,"single",5,39,"Automatic",18,"economy","Yes","No",0,0,128,13,145.2,82,23.7,267.8,117,26.19,225.2,59,13.86,9,2,2.54,68.6,86,246,"No"
64,"single",1,40,"Check",8,"standard","Yes","Yes",6,0,83,14,189.9,74,31,164.6,74,19.7,228,90,14.02,10.7,2,3,183.1,167,150,"Yes"
66,"married",2,41,"Automatic",10,"economy","No","Yes",0,38,76,15,270.6,57,44.17,263.5,112,27.22,145.6,96,9.41,20.8,6,5.83,121,61,308,"Yes"
51,"divorced",1,41,"Automatic",23,"standard","Yes","No",0,0,193,2,161,60,26.28,243.2,109,25.14,233.9,83,13.15,9.4,2,2.63,87.9,167,133,"No"
38,"divorced",4,42,"Check",13,"standard","No","No",2,0,61,4,146.6,49,23.92,154.9,81,12.96,249.2,86,15.2,10,7,2.8,101.6,213,96,"No"
32,"married",4,42,"Check",3,"economy","No","Yes",0,0,263,10,237.7,76,38.8,190.3,80,20.94,239.2,76,13.45,10.2,1,2.87,25,130,283,"Yes"
54,"married",2,42,"Credit",9,"deluxe","Yes","No",0,0,25,7,262.8,44,42.89,133.6,104,16.59,218.4,90,13.52,13.4,1,3.76,69.4,86,110,"No"
51,"single",1,42,"Check",31,"standard","Yes","No",6,0,155,14,241.6,70,39.43,221,89,22.62,145.2,83,8.2,9.6,2,2.68,134.7,78,239,"Yes"
43,"married",2,42,"Automatic",15,"standard","Yes","No",3,0,0,17,185.5,62,30.26,256.7,121,29.32,248.6,86,14.03,15.3,2,4.28,150,196,144,"No"
37,"single",1,42,"Automatic",12,"economy","Yes","No",0,18,110,16,364,52,59.4,224.4,102,20.32,222.7,78,12.52,10.8,6,3.04,150,140,199,"No"
41,"divorced",1,43,"Automatic",32,"standard","Yes","Yes",1,0,230,4,406.2,81,66.29,239.8,110,26.19,215.1,94,12.14,12,2,3.36,14.5,203,284,"Yes"
29,"single",5,43,"Automatic",20,"standard","Yes","Yes",2,0,0,14,180.4,62,29.44,170.2,90,18.8,168.3,81,9.44,8.6,6,2.39,140.4,214,118,"No"
63,"married",1,44,"Automatic",13,"economy","Yes","Yes",7,0,96,9,112.3,78,18.34,220.2,101,23.85,223.2,49,13.79,11.8,2,3.3,117,54,224,"Yes"
61,"divorced",1,44,"Automatic",15,"deluxe","Yes","Yes",1,28,88,20,309,44,50.42,140.7,75,15.76,127.5,79,7.14,7.8,5,2.2,192,52,198,"Yes"
42,"single",5,45,"Automatic",29,"standard","Yes","No",1,0,0,21,288.6,67,47.1,125.2,98,10.21,267.1,80,16.27,10,4,2.8,48.4,205,146,"No"
46,"divorced",4,45,"Automatic",22,"standard","Yes","Yes",0,20,150,11,294,66,47.99,149,78,17.94,150.6,94,8.45,7.5,2,2.1,177.5,127,182,"No"
60,"married",4,45,"Automatic",18,"standard","Yes","Yes",4,0,157,18,233.3,74,38.09,147,111,16.5,267.2,88,16.24,11,2,3.07,49.2,172,271,"Yes"
32,"divorced",5,45,"Automatic",4,"standard","No","No",3,0,0,11,234.7,35,38.3,185.4,98,20.52,296.8,69,16.75,8.6,8,2.39,12.9,131,243,"No"
43,"married",3,45,"Automatic",10,"standard","Yes","Yes",1,0,49,5,284.9,88,46.49,221,76,20.08,203.1,80,11.47,12.4,4,3.47,140.4,221,307,"No"
21,"divorced",4,45,"Automatic",33,"standard","Yes","Yes",3,0,127,22,319.1,47,52.09,339.4,82,34.93,239.5,91,13.45,11.4,2,3.18,120.2,138,182,"Yes"
50,"married",3,46,"Automatic",14,"standard","Yes","Yes",3,0,127,19,279,62,45.53,161.5,95,17.81,120.5,70,6.74,9.4,2,2.63,15.3,209,246,"No"
39,"married",2,46,"Automatic",9,"standard","Yes","No",0,0,0,20,331.7,86,54.12,120.4,103,13.83,161.1,70,9.05,11,4,3.08,93.6,87,162,"No"
69,"single",2,46,"Automatic",24,"standard","Yes","Yes",1,0,164,20,417.9,68,68.2,239.9,50,26.2,155.7,58,9.94,6,2,1.69,112.1,202,114,"Yes"
35,"married",3,46,"Automatic",13,"economy","Yes","Yes",0,29,131,8,225.3,51,36.77,186.5,114,20.38,200.4,81,12.52,8.4,5,2.36,27.4,80,270,"No"
47,"divorced",3,48,"Credit",2,"economy","Yes","No",1,0,48,10,231.6,80,37.79,251.9,82,27.43,227,78,12.76,11.5,2,3.24,87.1,212,231,"No"
36,"married",1,48,"Automatic",15,"economy","Yes","Yes",4,0,0,7,424.4,89,69.25,156,88,16.11,209.2,50,13,7.6,2,2.12,102.4,207,233,"Yes"
42,"married",5,48,"Check",28,"standard","Yes","No",2,0,0,9,219.3,63,35.8,123.7,137,9.98,183,97,10.33,7,2,1.99,139.5,61,197,"No"
51,"divorced",5,48,"Automatic",14,"standard","Yes","No",0,0,130,6,316.6,94,51.65,195.8,111,17.15,135.2,77,8.83,9.6,2,2.68,64.5,125,214,"No"
73,"single",2,50,"Credit",10,"standard","Yes","No",1,0,0,18,195.8,69,31.96,332.2,72,31.25,236.8,83,14.51,11.5,6,3.24,125,224,94,"No"
68,"married",4,50,"Automatic",13,"economy","Yes","No",1,0,144,4,108.1,68,17.64,194.8,100,21.41,194.9,84,10.94,7.7,5,2.16,33.1,161,216,"Yes"
31,"single",4,51,"Automatic",23,"standard","Yes","No",2,26,0,7,186.8,66,30.48,232.2,93,20.96,248.1,70,15.19,8.2,6,2.3,101.6,170,178,"No"
45,"married",5,51,"Credit",23,"economy","Yes","Yes",1,0,0,20,191.7,52,31.28,234.2,104,23.88,182.2,58,10.28,14.2,6,3.96,145.2,200,257,"No"
55,"single",4,51,"Automatic",2,"standard","Yes","Yes",2,0,97,20,344.2,64,56.17,272.6,84,25.05,205.3,80,11.59,13.8,2,3.88,100,185,233,"Yes"
36,"divorced",4,51,"Automatic",31,"standard","Yes","No",2,0,28,13,219.8,58,35.87,125.2,81,11.46,172.5,70,10.88,11,2,3.08,120.2,63,253,"No"
44,"married",1,51,"Credit",7,"standard","Yes","No",1,0,197,6,225.8,74,36.84,204.1,139,18.16,249.5,91,14.02,8.4,1,2.36,25.8,95,138,"No"
29,"divorced",1,51,"Check",23,"standard","Yes","No",1,0,0,11,107.6,82,17.54,263.5,101,25.68,269.4,76,15.16,18.7,2,5.24,127.4,94,223,"No"
59,"married",3,52,"Credit",28,"standard","Yes","Yes",2,0,156,8,354,43,57.77,269.9,85,26.48,215.1,82,12.14,13.9,5,3.91,34.7,218,117,"Yes"
60,"divorced",2,52,"Automatic",30,"standard","Yes","Yes",3,0,0,10,270.5,54,44.14,213.4,68,21.99,228.9,85,12.88,11.7,5,3.26,154.1,114,123,"No"
42,"divorced",1,52,"Automatic",25,"standard","Yes","No",3,0,0,22,213.5,74,34.85,196.6,78,21.5,261,56,15.88,12.8,4,3.59,33.9,213,246,"No"
49,"married",5,52,"Automatic",8,"standard","Yes","Yes",1,0,50,18,289.1,59,47.16,234.8,73,21.49,211.6,88,11.88,13.6,6,3.83,63.7,185,302,"No"
65,"divorced",3,52,"Automatic",18,"economy","No","No",0,0,103,4,65.8,77,10.73,186.9,111,21.91,160.6,73,9.07,13.8,6,3.88,169.4,93,307,"Yes"
32,"divorced",5,52,"Automatic",30,"standard","Yes","No",1,0,82,2,124.3,69,20.29,288.1,70,30.9,155.3,84,9.9,13.2,2,3.71,175.8,120,114,"No"
36,"married",3,53,"Automatic",30,"deluxe","Yes","Yes",2,20,103,8,209,40,34.1,268.3,122,30.43,278,83,15.62,16.3,5,4.58,13.7,92,196,"Yes"
80,"married",3,53,"Automatic",19,"standard","Yes","No",1,25,122,11,237.7,70,38.8,141.5,86,17.5,215.6,84,13.31,8.6,6,2.42,54.9,92,208,"No"
30,"divorced",3,53,"Check",19,"standard","Yes","Yes",2,27,76,5,270.4,59,44.11,251,129,25.78,238.9,90,14.63,13.4,4,3.76,129.9,95,262,"No"
33,"married",4,53,"Automatic",21,"standard","Yes","Yes",2,24,209,3,226.9,57,37.03,132.4,110,15,300.2,73,16.9,8,4,2.24,49.2,163,277,"No"
42,"divorced",5,53,"Check",21,"standard","Yes","No",3,0,185,12,205.2,94,33.48,167.6,100,14.5,209.3,84,11.76,8.6,2,2.42,167.8,96,198,"No"
41,"single",3,54,"Automatic",19,"standard","Yes","No",3,25,0,8,294.8,50,48.12,243,94,23.72,217.9,82,12.25,8.3,12,2.33,77.4,102,102,"No"
52,"married",3,54,"Automatic",31,"standard","Yes","No",2,0,94,4,289.9,54,47.3,195.6,90,21.65,166.9,75,10.56,17,2,4.79,48.4,95,222,"No"
42,"married",5,54,"Check",21,"standard","Yes","No",1,0,144,10,330,56,53.86,145,110,16.46,136.6,105,7.66,7.4,8,2.08,9.7,211,245,"No"
40,"divorced",3,54,"Automatic",13,"standard","Yes","Yes",1,0,222,19,259.1,40,42.28,171,80,16.32,216.5,54,12.23,13.8,2,3.84,108.1,185,302,"No"
69,"single",5,54,"Credit",9,"standard","No","Yes",2,0,127,22,327,59,53.36,217.3,111,20.92,176.7,66,11.17,16.2,6,4.55,154.9,227,109,"Yes"
24,"married",2,54,"Automatic",7,"standard","Yes","Yes",2,0,222,19,366.2,58,59.76,216.1,107,22.19,215.8,75,13.38,14.6,2,4.08,80.7,148,210,"Yes"
48,"single",1,55,"Automatic",11,"standard","Yes","Yes",3,20,0,2,347.7,72,56.75,184.2,93,17.6,166.7,111,10.61,8.9,4,2.48,112.1,73,188,"No"
70,"married",1,55,"Automatic",32,"economy","Yes","No",1,0,0,21,354.9,68,57.92,168.6,98,14.45,237,84,14.57,12.2,5,3.41,180.7,184,279,"No"
55,"single",5,55,"Automatic",12,"economy","Yes","Yes",6,0,238,13,180.3,82,29.42,168.6,86,18.54,218.8,67,12.29,5.8,8,1.63,159.7,151,264,"Yes"
56,"married",1,55,"Automatic",2,"deluxe","Yes","No",1,0,36,7,181.1,69,29.56,224.4,95,24.51,206.5,97,12.84,11.4,5,3.2,23.4,74,304,"No"
57,"divorced",2,55,"Automatic",34,"deluxe","Yes","No",0,0,94,5,294,50,47.99,275.7,85,26.92,253.4,98,15.44,16.2,6,4.55,111.3,185,311,"No"
37,"married",2,56,"Credit",14,"economy","Yes","No",1,0,0,12,249.6,69,40.74,203.2,79,21.03,197,90,11.11,10.7,2,3,30.7,108,206,"No"
34,"single",5,56,"Automatic",3,"standard","Yes","Yes",1,0,0,15,319.6,70,52.15,193.3,86,17.23,243.3,82,13.73,9.4,2,2.65,103.2,64,310,"No"
52,"single",1,56,"Automatic",19,"standard","Yes","No",1,0,26,13,406,82,66.26,132.5,91,15.01,175.6,81,9.91,10,6,2.8,41.9,65,145,"No"
29,"married",3,56,"Credit",11,"economy","No","No",0,0,61,14,211.2,69,34.46,240.6,77,26.27,225.5,70,12.72,14.6,4,4.12,81.5,162,142,"Yes"
38,"divorced",3,56,"Check",7,"deluxe","Yes","Yes",1,0,84,20,272,38,44.39,229.8,58,23.61,178.5,102,10.02,9.3,5,2.59,163.7,112,131,"No"
52,"married",3,57,"Automatic",8,"standard","Yes","No",3,0,206,4,177.8,51,29.02,149.2,92,16.64,272.8,69,16.54,12.8,4,3.59,165.4,212,126,"No"
64,"single",2,57,"Credit",11,"standard","Yes","Yes",3,0,48,18,263.9,69,43.06,282.2,89,30.21,249.3,67,15.28,8.1,5,2.28,56.5,208,199,"No"
32,"single",1,57,"Automatic",15,"economy","Yes","Yes",4,0,94,17,213.2,70,34.79,140.3,95,14.25,186.4,65,11.65,7.3,4,2.04,28.2,113,137,"Yes"
36,"divorced",4,57,"Automatic",31,"standard","Yes","Yes",2,29,0,4,178.9,43,29.2,258.7,71,29.19,305.5,67,18.38,14.1,5,3.95,167.8,139,143,"No"
22,"married",4,57,"Automatic",26,"standard","Yes","No",0,0,32,6,295.4,60,48.2,154.9,55,14.59,298.3,50,18.04,10.6,5,2.98,91.1,49,193,"No"
52,"single",2,58,"Check",8,"deluxe","Yes","No",0,16,72,11,201.9,69,32.95,324,78,33.11,188.2,100,10.61,7.5,6,2.1,175,194,300,"No"
35,"divorced",1,58,"Automatic",10,"standard","Yes","No",3,0,161,18,203.9,53,33.28,190.5,71,19.41,164.8,79,9.24,8.6,6,2.42,28.2,68,267,"No"
37,"married",5,58,"Automatic",14,"standard","Yes","No",2,0,0,11,171.7,84,28.02,311.8,108,30.7,202.6,81,11.44,12.1,4,3.38,12.9,157,264,"No"
49,"married",3,58,"Check",33,"standard","Yes","No",1,18,0,14,183.3,40,29.92,193,113,18.28,288.3,82,16.21,14.1,2,3.95,68.6,127,102,"No"
41,"married",4,58,"Automatic",12,"standard","Yes","No",10,0,125,18,314.4,75,51.3,138.1,113,12.79,240.1,94,13.49,10.5,2,2.95,175.8,85,269,"Yes"
49,"single",4,59,"Automatic",1,"economy","Yes","No",2,35,60,3,161.7,53,26.39,167.2,55,18.41,248.8,86,15.24,11.8,10,3.3,179.9,74,253,"No"
54,"divorced",1,59,"Check",14,"standard","Yes","No",2,35,211,4,197.9,46,32.29,220.3,108,19.67,136,90,7.67,13,7,3.65,72.6,206,150,"No"
64,"divorced",2,59,"Automatic",33,"standard","Yes","Yes",1,0,64,12,376.5,72,61.45,123.6,145,14.17,282.7,89,15.89,12.2,2,3.41,139.5,158,306,"No"
57,"married",2,59,"Automatic",13,"standard","No","No",2,0,190,9,261.9,69,42.76,270.1,98,24.93,150,85,9.61,10.1,2,2.83,62.1,166,293,"Yes"
47,"married",5,60,"Credit",6,"standard","Yes","No",2,30,118,15,154,58,25.13,214.7,105,25,159.1,63,8.93,11.8,4,3.3,166.2,205,311,"No"
67,"single",5,60,"Automatic",7,"standard","Yes","Yes",2,0,90,20,340.3,54,55.55,234.4,85,22.67,257.2,100,15.71,10.6,2,2.98,96.8,135,274,"Yes"
41,"married",3,61,"Automatic",23,"standard","No","No",1,0,137,21,370.7,78,60.49,180.2,83,18.34,230.5,75,14.22,8.6,6,2.39,138.7,213,116,"No"
39,"single",2,61,"Automatic",13,"standard","Yes","No",2,18,0,5,260.3,61,42.48,122.6,102,14.05,263.4,78,14.87,13,4,3.65,145.2,104,233,"No"
67,"married",5,62,"Check",18,"standard","No","Yes",1,0,130,8,263.9,58,43.06,264.7,102,30.14,215.4,78,13.31,14.9,6,4.16,117,78,190,"Yes"
40,"single",2,62,"Credit",14,"economy","Yes","Yes",4,0,107,7,306.2,85,49.98,287.3,82,30.99,108.1,71,7.25,14.2,4,3.96,133.9,48,275,"No"
32,"divorced",5,62,"Automatic",26,"standard","Yes","No",1,18,70,10,285.6,58,46.61,206.1,105,24.11,228.9,84,12.85,7.6,1,2.12,106.5,146,283,"No"
36,"married",2,62,"Automatic",2,"deluxe","Yes","No",3,23,197,4,227.7,78,37.16,139.9,86,15.93,184.9,70,10.44,11.4,2,3.2,170.2,121,254,"No"
33,"married",3,62,"Automatic",3,"economy","Yes","No",1,0,198,14,348.2,61,56.81,193.9,106,21.48,150.5,101,9.64,4.6,4,1.28,71,49,203,"No"
53,"single",1,62,"Check",26,"standard","Yes","Yes",3,35,0,4,191.5,65,31.26,186.2,106,20.44,259.6,79,15.84,8.4,1,2.36,80.7,90,313,"No"
51,"married",1,62,"Automatic",20,"standard","Yes","Yes",4,41,58,17,179.4,73,29.29,216.7,87,25.05,149,87,9.61,11.4,5,3.2,101.6,71,244,"Yes"
61,"married",5,62,"Check",10,"deluxe","Yes","No",1,0,0,12,337.6,83,55.09,201.2,49,17.79,149.2,64,9.62,9.4,4,2.65,53.2,222,158,"No"
60,"divorced",5,62,"Automatic",18,"standard","Yes","Yes",0,0,167,8,200.9,37,32.78,204.9,89,22.35,327.4,84,19.62,9.6,2,2.68,185.5,113,320,"No"
32,"single",1,62,"Credit",6,"economy","No","No",1,0,76,15,303.9,74,49.6,170.4,90,14.87,247.7,90,13.98,10.1,4,2.83,144.4,223,152,"No"
46,"divorced",2,63,"Automatic",26,"economy","Yes","No",1,0,46,19,310.8,72,50.71,256.9,109,23.75,148.9,108,9.54,7.2,10,2,91.1,166,271,"No"
62,"married",1,63,"Automatic",28,"economy","No","No",1,0,233,11,244.3,73,39.88,225.8,102,24.43,250.1,51,14.06,11,5,3.07,41.9,89,286,"No"
56,"divorced",5,63,"Automatic",13,"standard","No","No",2,15,64,7,325.2,60,53.08,171.2,85,14.61,250.1,89,15.26,12.7,2,3.55,166.2,66,193,"No"
54,"divorced",4,63,"Automatic",29,"economy","Yes","No",2,0,0,16,225.9,59,36.86,242.2,97,24.94,198.1,79,12.32,12.2,1,3.44,129.9,175,288,"No"
45,"married",1,63,"Check",2,"standard","Yes","No",0,0,60,15,217.4,75,35.48,121.4,138,12.3,192.9,70,10.84,12.2,6,3.44,129.1,83,288,"No"
63,"married",1,63,"Automatic",22,"standard","Yes","Yes",2,0,164,11,375,47,61.2,234.7,79,25.42,188.5,80,11.78,11,2,3.07,11.3,116,166,"Yes"
40,"married",5,64,"Automatic",29,"deluxe","Yes","No",0,0,0,12,304,65,49.62,246.2,59,26.68,266.5,105,16.19,9.9,1,2.77,86.3,194,88,"No"
28,"married",3,64,"Check",19,"standard","Yes","No",0,35,139,19,292.9,74,47.8,200.3,104,17.61,192.3,88,10.85,9.9,2,2.77,23.4,64,286,"No"
32,"single",3,64,"Automatic",21,"deluxe","Yes","No",0,0,178,11,322.9,57,52.69,109.4,121,14.19,188.9,93,10.6,10.3,6,2.88,58.9,145,121,"No"
70,"married",2,64,"Credit",30,"standard","No","Yes",0,0,251,3,158.2,42,25.81,126.4,88,11.67,258.9,58,15.76,6.6,1,1.87,72.6,190,319,"Yes"
